"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\App.css", "CSS", 0, 0, 75, 0, 0, 13, 88
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\App.js", "JavaScript", 0, 6, 0, 0, 0, 3, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Footer\Footer.css", "CSS", 0, 0, 40, 0, 0, 14, 54
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Footer\Footer.jsx", "JavaScript JSX", 144, 0, 0, 0, 0, 15, 159
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Header\Header.jsx", "JavaScript JSX", 77, 0, 0, 0, 2, 13, 92
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Header\header.css", "CSS", 0, 0, 38, 0, 0, 7, 45
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Image-gallery\MasonryImagesGallery.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 3, 26
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Image-gallery\galleryImage.js", "JavaScript", 0, 18, 0, 0, 0, 4, 22
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Layout\Layout.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 2, 16
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Component\Testimonials\Testimonials.jsx", "JavaScript JSX", 104, 0, 0, 0, 0, 10, 114
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\FeaturedTours\FeaturedToursList.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 2, 16
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\Home.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 9, 154
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\Login.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\Register.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\SearchResultList.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\TourDetails.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Pages\Tours.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Router\Routers.js", "JavaScript", 0, 21, 0, 0, 0, 3, 24
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Services\ServiceCard.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 4, 19
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Services\ServiceList.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 3, 48
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Services\Servicecard.css", "CSS", 0, 0, 33, 0, 0, 7, 40
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\Newsletter.css", "CSS", 0, 0, 42, 0, 0, 9, 51
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\Newsletter.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 6, 38
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\SearchBar.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 10, 69
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\Subtitle.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\TourCard.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 7, 52
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\Tourcard.css", "CSS", 0, 0, 78, 0, 0, 17, 95
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\Shared\searchbar.css", "CSS", 0, 0, 34, 0, 0, 8, 42
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\assets\data\tours.js", "JavaScript", 0, 158, 0, 0, 0, 3, 161
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\assets\data\tours.json", "JSON", 0, 0, 0, 122, 0, 11, 133
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\styles\Home.css", "CSS", 0, 0, 95, 0, 0, 20, 115
"d:\CodeShuenceAgency\Tour And Travels\Tours and Travels\src\utils\avgRating.js", "JavaScript", 0, 14, 0, 0, 0, 4, 18
"Total", "-", 759, 233, 435, 122, 2, 222, 1773
